# Polysun weather profile generated by hostrada4py from HOSTRADA data
# Columns: Global radiation [Wh/m2], Diffuse radiation [Wh/m2], Long-wave irradiation [Wh/m2], Ambient temperature [degC], Wind speed [m/s], Relative humidity [%]
# Location: HOSTRADA, lat=52.521918, lon=13.413215
Gh,Dh,Lh,Tamb,Vwnd,Hrel
0,0,171.703,3.1,2.5,82.5
0,0,172.531,3.3,3,82.5
0,0,174.976,3.8,2.9,83.7
0,0,176.981,4.1,2.8,86.2
0,0,178.8,4.5,3.5,86.6
36.7,35.9117,176.952,4.1,3.2,86.1
140.4,102.02,180.066,5,4.2,83.7
217.8,121.144,184.954,6.5,4.5,78.7
201.9,150.535,185.848,6.9,4.5,76.2
255.9,116.753,188.551,7.7,5.1,73.9
203.8,109.986,188.809,7.9,4.6,72.2
88.1,79.7983,190.328,8.2,4.7,72.7
36.1,31.4627,190.998,8.3,4.5,73.3
1,1,191.442,8.3,4.2,74.5
0,0,191.459,8,4.4,78.3
0,0,192.618,7.8,3.5,84.4
0,0,193.941,7.9,3.6,87.1
0,0,194.556,8,4,87.6
0,0,194.178,7.8,3.3,89.3
0,0,194.333,7.8,3.5,89.8
0,0,194.022,7.8,3.3,88.8
0,0,194.478,7.9,3.6,88.8
0,0,194.147,7.8,3.1,89.2
0,0,194.132,7.9,2.7,87.7
0,0,192.675,7.6,2.5,87.4
0,0,193.349,7.7,2.5,88.1
0,0,194.132,7.9,2.5,87.7
0,0,195.444,8.3,2.7,86.1
0,0,195.443,8.4,2.9,84.7
4.5,4.48886,199.21,9.5,3.7,80.9
24.5,24.3235,199.875,9.9,4.4,77.6
61.9,61.0445,203.482,10.9,4.1,74.8
78.8,77.5526,203.939,11.4,4.2,70.1
126.2,120.718,205.035,12.2,4.7,64
184.5,123.724,208.425,13.8,4.5,55.6
62,60.5506,209.154,14.4,5.2,51.8
16,15.773,209.916,14.5,4.3,52.3
1.1,1.1,209.138,14.3,3.6,52.6
0,0,208.586,14.1,3.1,53.3
0,0,205.331,12.9,2.3,57.8
0,0,204.45,11.5,3.9,70.2
0,0,204.49,10.5,4.4,82.6
0,0,201.224,9.5,3.3,86.8
0,0,197.509,8.7,2.4,86.8
0,0,195.139,8.1,1.2,88
0,0,195.218,7.8,2.3,92.7
0,0,195.65,7.7,1.9,95.7
0,0,196.658,7.9,2.5,96
0,0,195.697,7.8,1.8,94.3
0,0,192.882,7.4,3.1,91
0,0,190.856,7.1,2.5,88.8
0,0,187.911,6.4,2.8,89.4
0,0,186.583,6,2.5,90.9
26.7,26.3189,186.967,6.1,3,90.7
97.9,91.8452,190.161,7,2.7,88
89.3,87.5415,197.661,9,3.8,83.1
154.6,141.363,199.318,9.6,4.1,79.9
193.4,151.325,202.97,10.5,3.7,78.4
122.6,114.116,202.613,10.6,3.5,76.2
56.5,55.4137,198.246,9.7,4.9,75.7
12.4,12.2713,195.738,8.7,3,81.5
0.9,0.9,197.28,8.7,3.5,86.1
0,0,193.455,7.8,4.4,87
0,0,189.572,6.8,5.3,89
0,0,186.259,6,3.2,89.8
0,0,185.144,5.7,2.7,90.5
0,0,182.609,5.1,1,90.8
0,0,179.743,4.3,1.9,92.9
0,0,179.887,4.2,2.3,95
0,0,180.449,4.4,2.7,93.9
0,0,180.388,4.6,2.6,90.6
0,0,180.395,4.9,2.9,86.2
0,0,181.045,5.3,3.4,82.7
0,0,181.778,5.7,3.6,79.6
0,0,181.642,5.9,4.2,76.6
